DATE,PNRGINDEXQ
2000-01-01,65.1158806059507
2000-04-01,68.4130435701576
2000-07-01,77.4735199183274
2000-10-01,83.4796189638272
2001-01-01,77.0017213218097
2001-04-01,72.2982221785541
2001-07-01,64.4230459735947
2001-10-01,51.7028974121635
2002-01-01,53.3275112646742
2002-04-01,62.7433516120109
2002-07-01,65.2713680650408
2002-10-01,68.7349749277569
2003-01-01,83.6452083014743
2003-04-01,73.3099978522815
2003-07-01,74.8078012325044
2003-10-01,77.977219788312
2004-01-01,85.4140603947999
2004-04-01,94.0690115307782
2004-07-01,102.936674369235
2004-10-01,109.918627573506
2005-01-01,114.975448896894
2005-04-01,125.622385384259
2005-07-01,149.913817884845
2005-10-01,151.799818692864
2006-01-01,148.562047957679
2006-04-01,160.021349797875
2006-07-01,160.157354499886
2006-10-01,144.066379472928
2007-01-01,142.679350997176
2007-04-01,158.965533472575
2007-07-01,169.384945147745
2007-10-01,201.077954304978
2008-01-01,223.651658171321
2008-04-01,279.746685083822
2008-07-01,273.015546905234
2008-10-01,153.813702263262
2009-01-01,120.648199547686
2009-04-01,135.389362780475
2009-07-01,148.965233775629
2009-10-01,166.083999314558
2010-01-01,175.96080077261
2010-04-01,176.255357807217
2010-07-01,171.631311281501
2010-10-01,190.258781160686
2011-01-01,219.591674155347
2011-04-01,241.927592708201
2011-07-01,233.341622016557
2011-10-01,231.186178132623
2012-01-01,242.843895510819
2012-04-01,225.086640141696
2012-07-01,223.085003434742
2012-10-01,221.468364090705
2013-01-01,227.321005847178
2013-04-01,218.757537790233
2013-07-01,229.53352036499
2013-10-01,227.907506477519
2014-01-01,229.464508411887
2014-04-01,230.692544303909
2014-07-01,216.907707602459
2014-10-01,172.218020723101
2015-01-01,127.997151186746
2015-04-01,134.056398492817
2015-07-01,113.730486253093
2015-10-01,100.144448602529
2016-01-01,81.0299432835294
2016-04-01,100.240128795616
2016-07-01,103.26084166988
2016-10-01,115.469086250975
2017-01-01,123.072285718686
2017-04-01,113.864787151317
2017-07-01,118.15622227551
2017-10-01,138.109496827781
2018-01-01,149.105552837899
2018-04-01,159.276543421684
2018-07-01,166.749002692119
2018-10-01,151.007929853901
2019-01-01,135.053680764736
2019-04-01,134.139268379796
2019-07-01,121.769351348644
2019-10-01,126.177616292189
2020-01-01,102.808533272203
2020-04-01,68.7665251101044
2020-07-01,90.3137628213605
2020-10-01,104.930749407943
2021-01-01,139.415909724871
2021-04-01,156.215443199979
2021-07-01,192.678498350757
2021-10-01,244.045039455048
2022-01-01,277.736500071592
2022-04-01,311.777212508982
2022-07-01,350.123888633868
2022-10-01,258.406735307022
2023-01-01,203.671377806611
2023-04-01,175.805786667186
2023-07-01,189.250548508139
2023-10-01,189.292346738139
